Row,CMPP,RPPV,TIME_1900,RCPP,SOLSTATE,EMA
505804,3.121015,1125.78,44194.791251222,4.221015,0,1125.78
505821,3.122319,1125.78,44194.791263814,4.222319,0,1125.78
505838,3.121015,1125.78,44194.791276406,4.221015,0,1125.78
505855,3.121015,1125.78,44194.791289000,4.221015,0,1125.78
505872,3.122319,1104.539,44194.791301592,4.222319,0,1104.539
505889,3.121015,1104.539,44194.791314185,4.221015,0,1104.539
505906,3.121015,1104.539,44194.791326777,4.221015,0,1104.539
505923,3.121015,1083.298,44194.791339369,4.221015,0,1083.298
505940,3.121015,1083.298,44194.791351963,4.221015,0,1083.298
505957,3.122319,1083.298,44194.791364554,4.222319,0,1083.298
505974,3.121015,1083.298,44194.791377148,4.221015,0,1083.298
505991,3.122319,1062.057,44194.791389740,4.222319,0,1062.057
506008,3.121015,1062.057,44194.791402332,4.221015,0,1062.057
506025,3.121015,1062.057,44194.791414926,4.221015,0,1062.057
506042,3.121015,1062.057,44194.791427517,4.221015,0,1062.057
506059,3.121015,1040.815,44194.791440111,4.221015,0,1040.815
506076,3.122319,1040.815,44194.791452703,4.222319,0,1040.815
506093,3.121015,1040.815,44194.791465295,4.221015,0,1040.815
506110,3.122319,1040.815,44194.791477889,4.222319,0,1040.815
506127,3.121015,1019.574,44194.791490480,4.221015,0,1019.574
506144,3.121015,1019.574,44194.791503074,4.221015,0,1019.574
506161,3.121015,1019.574,44194.791515666,4.221015,0,1019.574
506178,3.121015,1019.574,44194.791528258,4.221015,0,1019.574
506195,3.121015,998.3332,44194.791540852,4.221015,0,998.3332
506212,3.121015,998.3332,44194.791553443,4.221015,0,998.3332
506229,3.122319,998.3332,44194.791566037,4.222319,0,998.3332
506246,3.122319,998.3332,44194.791578629,4.222319,0,998.3332
506263,3.121015,977.0921,44194.791591221,4.221015,0,977.0921
506280,3.121015,977.0921,44194.791603815,4.221015,0,977.0921
506297,3.121015,977.0921,44194.791616406,4.221015,0,977.0921
506314,3.121015,977.0921,44194.791629000,4.221015,0,977.0921
506331,3.121015,955.8509,44194.791641592,4.221015,0,955.8509
506348,3.121015,955.8509,44194.791654184,4.221015,0,955.8509
506365,3.121015,955.8509,44194.791666777,4.221015,0,955.8509
506382,3.121015,955.8509,44194.791679369,4.221015,0,955.8509
506399,3.122319,955.8509,44194.791691963,4.222319,0,955.8509
506416,3.121015,934.6097,44194.791704555,4.221015,0,934.6097
506433,3.122319,934.6097,44194.791717147,4.222319,0,934.6097
506450,3.121015,934.6097,44194.791729740,4.221015,0,934.6097
506467,3.122319,934.6097,44194.791742332,4.222319,0,934.6097
506484,3.122319,913.3687,44194.791754926,4.222319,0,913.3687
506501,3.121015,913.3687,44194.791767518,4.221015,0,913.3687
506518,3.122319,913.3687,44194.791780110,4.222319,0,913.3687
506535,3.122319,913.3687,44194.791792703,4.222319,0,913.3687
506552,3.123618,913.3687,44194.791805295,4.223618,0,913.3687
506569,3.122319,892.1276,44194.791817889,4.222319,0,892.1276
506586,3.122319,892.1276,44194.791830481,4.222319,0,892.1276
506603,3.123618,892.1276,44194.791843073,4.223618,0,892.1276
506620,3.122319,892.1276,44194.791855666,4.222319,0,892.1276
506637,3.123618,892.1276,44194.791868258,4.223618,0,892.1276
506654,3.122319,870.8863,44194.791880852,4.222319,0,870.8863
506671,3.123618,870.8863,44194.791893444,4.223618,0,870.8863
506688,3.123618,870.8863,44194.791906036,4.223618,0,870.8863
506705,3.123618,870.8863,44194.791918629,4.223618,0,870.8863
506722,3.123618,870.8863,44194.791931221,4.223618,0,870.8863
506739,3.122319,849.6453,44194.791943815,4.222319,0,849.6453
506756,3.123618,849.6453,44194.791956407,4.223618,0,849.6453
506773,3.122319,849.6453,44194.791968999,4.222319,0,849.6453
506790,3.123618,849.6453,44194.791981592,4.223618,0,849.6453
506807,3.123618,849.6453,44194.791994184,4.223618,0,849.6453
506824,3.123618,828.4042,44194.792006778,4.223618,0,828.4042
506841,3.123618,828.4042,44194.792019370,4.223618,0,828.4042
506858,3.122319,828.4042,44194.792031962,4.222319,0,828.4042
506875,3.123618,828.4042,44194.792044555,4.223618,0,828.4042
506892,3.123618,828.4042,44194.792057147,4.223618,0,828.4042
506909,3.123618,807.163,44194.792069741,4.223618,0,807.163
506926,3.123618,807.163,44194.792082333,4.223618,0,807.163
506943,3.123618,807.163,44194.792094925,4.223618,0,807.163
506960,3.123618,807.163,44194.792107518,4.223618,0,807.163
506977,3.123618,807.163,44194.792120110,4.223618,0,807.163
506994,3.123618,807.163,44194.792132704,4.223618,0,807.163
507011,3.123618,785.922,44194.792145296,4.223618,0,785.922
507028,3.122319,785.922,44194.792157888,4.222319,0,785.922
507045,3.123618,785.922,44194.792170481,4.223618,0,785.922
507062,3.123618,785.922,44194.792183073,4.223618,0,785.922
507079,3.123618,785.922,44194.792195667,4.223618,0,785.922
507096,3.123618,764.6809,44194.792208259,4.223618,0,764.6809
507113,3.123618,764.6809,44194.792220851,4.223618,0,764.6809
507130,3.123618,764.6809,44194.792233444,4.223618,0,764.6809
507147,3.123618,764.6809,44194.792246036,4.223618,0,764.6809
507164,3.123618,764.6809,44194.792258630,4.223618,0,764.6809
507181,3.123618,764.6809,44194.792271222,4.223618,0,764.6809
507198,3.123618,743.4395,44194.792283814,4.223618,0,743.4395
507215,3.123618,743.4395,44194.792296407,4.223618,0,743.4395
507232,3.124921,743.4395,44194.792308999,4.224921,0,743.4395
507249,3.123618,743.4395,44194.792321593,4.223618,0,743.4395
507266,3.123618,743.4395,44194.792334185,4.223618,0,743.4395
507283,3.123618,743.4395,44194.792346776,4.223618,0,743.4395
507300,3.122319,722.1984,44194.792359370,4.222319,0,722.1984
507317,3.123618,722.1984,44194.792371962,4.223618,0,722.1984
507334,3.123618,722.1984,44194.792384556,4.223618,0,722.1984
507351,3.123618,722.1984,44194.792397148,4.223618,0,722.1984
507368,3.123618,722.1984,44194.792409740,4.223618,0,722.1984
