Row,CMPP,RPPV,TIME_1900,RCPP,SOLSTATE
503255,3.11061,4184.503,44194.789363073,4.21061,17
503256,3.109311,4184.503,44194.789363814,4.209311,17
503257,3.11061,4184.503,44194.789364554,4.21061,17
503258,3.109311,4184.503,44194.789365296,4.209311,17
503259,3.109311,4184.503,44194.789366037,4.209311,17
503260,3.11061,4184.503,44194.789366777,4.21061,17
503261,3.109311,4184.503,44194.789367518,4.209311,17
503262,3.109311,4184.503,44194.789368258,4.209311,17
503263,3.11061,4184.503,44194.789369000,4.21061,17
503264,3.109311,4184.503,44194.789369739,4.209311,17
503265,3.109311,4184.503,44194.789370481,4.209311,17
503266,3.11061,4184.503,44194.789371221,4.21061,17
503267,3.11061,4184.503,44194.789371962,4.21061,17
503268,3.109311,4184.503,44194.789372704,4.209311,17
503269,3.109311,4184.503,44194.789373444,4.209311,17
503270,3.109311,4184.503,44194.789374185,4.209311,17
503271,3.109311,4184.503,44194.789374925,4.209311,17
503272,3.109311,4184.503,44194.789375666,4.209311,17
503273,3.11061,4184.503,44194.789376406,4.21061,17
503274,3.109311,4184.503,44194.789377148,4.209311,17
503275,3.11061,4184.503,44194.789377888,4.21061,17
503276,3.11061,4184.503,44194.789378629,4.21061,17
503277,3.109311,4184.503,44194.789379371,4.209311,17
503278,3.109311,4184.503,44194.789380110,4.209311,17
503279,3.11061,4184.503,44194.789380852,4.21061,17
503280,3.109311,4184.503,44194.789381592,4.209311,17
503281,3.108008,4184.503,44194.789382333,4.208008,17
503282,3.11061,4184.503,44194.789383073,4.21061,17
503283,3.109311,4184.503,44194.789383814,4.209311,17
503284,3.109311,4184.503,44194.789384554,4.209311,17
503285,3.11061,4184.503,44194.789385296,4.21061,17
503286,3.109311,4184.503,44194.789386036,4.209311,17
503287,3.109311,4184.503,44194.789386777,4.209311,17
503288,3.11061,4184.503,44194.789387519,4.21061,17
503289,3.109311,4184.503,44194.789388258,4.209311,17
503290,3.109311,4184.503,44194.789389000,4.209311,17
503291,3.11061,4184.503,44194.789389740,4.21061,17
503292,3.11061,4184.503,44194.789390481,4.21061,17
503293,3.11061,4184.503,44194.789391221,4.21061,17
503294,3.109311,4184.503,44194.789391963,4.209311,17
503295,3.109311,4184.503,44194.789392702,4.209311,17
503296,3.109311,4184.503,44194.789393444,4.209311,17
503297,3.11061,4184.503,44194.789394185,4.21061,17
503298,3.11061,4184.503,44194.789394925,4.21061,17
503299,3.109311,4184.503,44194.789395667,4.209311,17
503300,3.109311,4184.503,44194.789396406,4.209311,17
503301,3.11061,4184.503,44194.789397148,4.21061,17
503302,3.109311,4184.503,44194.789397888,4.209311,17
503303,3.109311,4184.503,44194.789398629,4.209311,17
503304,3.11061,4184.503,44194.789399369,4.21061,17
503305,3.11061,4184.503,44194.789400111,4.21061,17
503306,3.109311,4184.503,44194.789400852,4.209311,17
503307,3.11061,4184.503,44194.789401592,4.21061,17
503308,3.11061,4184.503,44194.789402333,4.21061,17
503309,3.109311,4184.503,44194.789403073,4.209311,17
503310,3.11061,4184.503,44194.789403815,4.21061,17
503311,3.109311,4184.503,44194.789404554,4.209311,17
503312,3.109311,4184.503,44194.789405296,4.209311,17
503313,3.109311,4184.503,44194.789406036,4.209311,17
503314,3.109311,4184.503,44194.789406777,4.209311,17
503315,3.109311,4184.503,44194.789407519,4.209311,17
503316,3.11061,4184.503,44194.789408258,4.21061,17
503317,3.109311,4184.503,44194.789409000,4.209311,17
503318,3.11061,4184.503,44194.789409740,4.21061,17
503319,3.109311,4184.503,44194.789410481,4.209311,17
503320,3.109311,4184.503,44194.789411221,4.209311,17
503321,3.109311,4184.503,44194.789411963,4.209311,17
503322,3.11061,4184.503,44194.789412702,4.21061,17
503323,3.11061,4184.503,44194.789413444,4.21061,17
503324,3.11061,4184.503,44194.789414185,4.21061,17
503325,3.109311,4184.503,44194.789414925,4.209311,17
503326,3.11061,4184.503,44194.789415667,4.21061,17
503327,3.109311,4184.503,44194.789416406,4.209311,17
503328,3.109311,4184.503,44194.789417148,4.209311,17
503329,3.11061,4184.503,44194.789417888,4.21061,17
503330,3.109311,4184.503,44194.789418629,4.209311,17
503331,3.109311,4184.503,44194.789419369,4.209311,17
503332,3.11061,4184.503,44194.789420111,4.21061,17
503333,3.11061,4184.503,44194.789420852,4.21061,17
503334,3.109311,4184.503,44194.789421592,4.209311,17
503335,3.109311,4184.503,44194.789422333,4.209311,17
503336,3.11061,4184.503,44194.789423073,4.21061,17
503337,3.109311,4184.503,44194.789423815,4.209311,17
503338,3.109311,4184.503,44194.789424554,4.209311,17
503339,3.109311,4184.503,44194.789425296,4.209311,17
503340,3.11061,4184.503,44194.789426036,4.21061,17
503341,3.109311,4184.503,44194.789426777,4.209311,17
503342,3.109311,4184.503,44194.789427517,4.209311,17
503343,3.109311,4184.503,44194.789428259,4.209311,17
503344,3.109311,4184.503,44194.789429000,4.209311,17
503345,3.109311,4184.503,44194.789429740,4.209311,17
503346,3.11061,4184.503,44194.789430481,4.21061,17
503347,3.109311,4184.503,44194.789431221,4.209311,17
503348,3.11061,4184.503,44194.789431963,4.21061,17
503349,3.109311,4184.503,44194.789432703,4.209311,17
503350,3.11061,4184.503,44194.789433444,4.21061,17
503351,3.11061,4184.503,44194.789434184,4.21061,17
503352,3.109311,4184.503,44194.789434925,4.209311,17
503353,3.109311,4184.503,44194.789435667,4.209311,17
503354,3.11061,4184.503,44194.789436407,4.21061,17
503355,3.109311,4184.503,44194.789437148,4.209311,17
503356,3.109311,4184.503,44194.789437888,4.209311,17
503357,3.11061,4184.503,44194.789438629,4.21061,17
503358,3.109311,4184.503,44194.789439369,4.209311,17
503359,3.109311,4184.503,44194.789440111,4.209311,17
503360,3.109311,4184.503,44194.789440850,4.209311,17
503361,3.11061,4184.503,44194.789441592,4.21061,17
503362,3.109311,4184.503,44194.789442334,4.209311,17
503363,3.11061,4184.503,44194.789443073,4.21061,17
503364,3.11061,4184.503,44194.789443815,4.21061,17
503365,3.109311,4184.503,44194.789444555,4.209311,17
503366,3.109311,4184.503,44194.789445296,4.209311,17
503367,3.109311,4184.503,44194.789446036,4.209311,17
503368,3.109311,4184.503,44194.789446777,4.209311,17
503369,3.11061,4184.503,44194.789447517,4.21061,17
503370,3.11061,4184.503,44194.789448259,4.21061,17
503371,3.11061,4184.503,44194.789449000,4.21061,17
503372,3.109311,4184.503,44194.789449740,4.209311,17
503373,3.11061,4184.503,44194.789450482,4.21061,17
503374,3.11061,4184.503,44194.789451221,4.21061,17
503375,3.109311,4184.503,44194.789451963,4.209311,17
503376,3.11061,4184.503,44194.789452703,4.21061,17
503377,3.109311,4184.503,44194.789453444,4.209311,17
503378,3.109311,4184.503,44194.789454184,4.209311,17
503379,3.11061,4184.503,44194.789454925,4.21061,17
503380,3.109311,4184.503,44194.789455665,4.209311,17
503381,3.109311,4184.503,44194.789456407,4.209311,17
503382,3.11061,4184.503,44194.789457148,4.21061,17
503383,3.109311,4184.503,44194.789457888,4.209311,17
503384,3.109311,4184.503,44194.789458630,4.209311,17
503385,3.109311,4184.503,44194.789459369,4.209311,17
503386,3.11061,4184.503,44194.789460111,4.21061,17
503387,3.109311,4184.503,44194.789460851,4.209311,17
503388,3.109311,4184.503,44194.789461592,4.209311,17
503389,3.11061,4184.503,44194.789462332,4.21061,17
503390,3.109311,4184.503,44194.789463073,4.209311,17
503391,3.109311,4184.503,44194.789463815,4.209311,17
503392,3.11061,4184.503,44194.789464555,4.21061,17
503393,3.11061,4184.503,44194.789465296,4.21061,17
503394,3.109311,4184.503,44194.789466036,4.209311,17
503395,3.11061,4184.503,44194.789466778,4.21061,17
503396,3.11061,4184.503,44194.789467517,4.21061,17
503397,3.109311,4184.503,44194.789468259,4.209311,17
503398,3.11061,4184.503,44194.789468999,4.21061,17
503399,3.11061,4184.503,44194.789469740,4.21061,17
503400,3.109311,4184.503,44194.789470482,4.209311,17
503401,3.11061,4184.503,44194.789471221,4.21061,17
503402,3.11061,4184.503,44194.789471963,4.21061,17
